국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
지부티🇩🇯,1.3,98.6,11732,988000,11587,,5,-3,N/A,,155,,11427,+3
아루바🇦🇼,1.0,98.8,104078,106766,11108,2,28,-1,14,,107,,10973,+3
레소토🇱🇸,3.0,58.2,5185,2142249,11081,,4307,,N/A,,329,,6445,
남수단🇸🇸,1.1,97.6,964,11193725,10770,,141,,N/A,,115,,10514,
동티모르🇹🇱,0.2,87.8,6660,1318445,8728,21,1042,-17,N/A,,19,,7667,+38
적도 기니🇬🇶,1.4,97.6,6207,1402985,8698,,89,,1,,120,,8489,
베냉🇧🇯,1.3,98.0,671,12123200,8140,,58,,5,,103,,7979,
니카라과🇳🇮,2.4,54.9,1162,6624554,7696,,3283,,N/A,,188,,4225,
중앙아프리카 공화국🇨🇫,1.4,96.6,1476,4829767,7101,,144,,2,,98,,6859,
예멘🇾🇪,19.7,57.4,231,29825964,6885,,1577,,23,,1355,,3953,
아이슬란드🇮🇸,0.5,99.2,19429,341243,6627,,21,,1,,30,,6576,
감비아🇬🇲,3.0,96.7,2501,2416668,6024,,16,,3,,181,,5827,
니제르🇳🇪,3.5,94.7,226,24206644,5469,,98,,2,,193,,5178,
에리트레아🇪🇷,0.4,89.9,1529,3546421,5362,26,525,-10,N/A,,19,,4818,+36
세인트루시아🇱🇨,1.5,97.0,28416,183627,5216,5,75,-1,N/A,,80,,5061,+6
부룬디🇧🇮,0.2,15.1,441,11890784,5121,,4340,,N/A,,8,,773,
산마리노🇸🇲,1.8,98.2,150010,33931,5090,,1,,N/A,,90,,4999,
차드🇹🇩,3.5,96.4,301,16425864,4946,,4,,N/A,,174,,4768,
시에라리온🇸🇱,1.7,67.8,612,7976983,4816,114,1470,+83,N/A,,82,,3264,+31
지브롤터🇬🇮,2.2,97.5,128313,33691,4321,,16,-2,N/A,,94,,4211,+2
바베이도스🇧🇧,1.2,98.6,14076,287375,4043,2,10,+2,N/A,,47,,3986,
코모로🇰🇲,3.7,95.8,4499,869601,3908,,17,,N/A,,146,,3745,
기니비사우🇬🇼,1.8,93.0,1944,1968001,3825,,198,,4,,69,,3558,
리히텐슈타인🇱🇮,1.9,97.7,79417,38128,3026,,12,,3,,59,,2955,
라이베리아🇱🇷,3.2,70.3,615,5057681,2995,161,795,+161,2,,95,,2105,
뉴질랜드🇳🇿,1.0,98.2,564,4822233,2720,2,23,+1,N/A,,26,,2671,+1
신트마르턴🇸🇽,1.2,96.4,60057,42876,2570,,61,,2,,32,,2477,
