국가,ISO3,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일,Country,CPI score 2020
에티오피아🇪🇹,ETH,1.6,92.8,2395,114963588,275318,124.0,15530.0,-433.0,204.0,3.0,4286,3.0,255502.0,554.0,Ethiopia,38
아일랜드🇮🇪,IRL,1.8,94.0,54578,4937786,269321,273.0,11054.0,-108.0,13.0,-2.0,4979,38.0,253288.0,343.0,Ireland,72
바레인🇧🇭,BHR,0.5,96.8,154968,1701575,263295,403.0,7071.0,-605.0,164.0,-1.0,1311,5.0,254913.0,1003.0,Bahrain,42
베네수엘라🇻🇪,VEN,1.1,92.5,9262,28435940,262038,1298.0,16708.0,-141.0,287.0,,2973,15.0,242357.0,1424.0,Venezuela,15
슬로베니아🇸🇮,SVN,1.7,97.7,123677,2078938,257066,65.0,1407.0,-155.0,33.0,-2.0,4416,1.0,251243.0,219.0,Slovenia,60
몰도바🇲🇩,MDA,2.4,97.3,63519,4033963,256187,47.0,798.0,5.0,56.0,2.0,6173,3.0,249216.0,39.0,Moldova,34
온두라스🇭🇳,HND,2.7,36.1,25757,9904607,254194,319.0,155560.0,179.0,548.0,6.0,6772,6.0,91862.0,134.0,Honduras,24
오만🇴🇲,OMN,1.1,87.6,49868,5106626,252609,2037.0,28577.0,917.0,443.0,15.0,2782,41.0,221250.0,1079.0,Oman,54
스리랑카🇱🇰,LKA,1.1,83.3,11391,21413249,241820,2131.0,37798.0,2079.0,,,2633,52.0,201389.0,,Sri Lanka,38
태국🇹🇭,THA,0.8,83.3,3274,69799978,225365,4059.0,35836.0,1977.0,1436.0,,1693,35.0,187836.0,2047.0,Thailand,36
아르메니아🇦🇲,ARM,2.0,96.4,75738,2963243,224330,77.0,3646.0,4.0,,,4502,3.0,216182.0,70.0,Armenia,49
카타르🇶🇦,QAT,0.3,98.9,76803,2881053,221119,189.0,1951.0,39.0,72.0,-2.0,584,1.0,218584.0,149.0,Qatar,63
보스니아 헤르체고비나🇧🇦,BIH,4.7,88.0,62457,3280819,204860,46.0,14972.0,-354.0,,,9643,13.0,180245.0,387.0,Bosnia and Herzegovina,35
리비아🇱🇾,LBY,1.7,92.4,27866,6871292,191253,215.0,11423.0,13.0,,,3181,3.0,176649.0,199.0,Libya,17
케냐🇰🇪,KEN,1.9,68.6,3345,53771296,179293,218.0,52867.0,-48.0,113.0,,3461,5.0,122965.0,261.0,Kenya,31
쿠바🇨🇺,CUB,0.7,94.3,15084,11326616,169365,1561.0,8420.0,263.0,161.0,15.0,1170,11.0,159775.0,1287.0,Cuba,47
나이지리아🇳🇬,NGA,1.3,97.9,812,206139589,167292,86.0,1377.0,-155.0,11.0,,2118,1.0,163797.0,240.0,Nigeria,25
북마케도니아🇲🇰,MKD,3.5,96.3,74706,2083374,155627,,273.0,,25.0,,5477,,149877.0,,North Macedonia,35
대한민국🇰🇷,KOR,1.3,94.7,2975,51269185,151900,394.0,6077.0,-157.0,135.0,-2.0,2006,2.0,143817.0,549.0,"Korea, South",61
미얀마🇲🇲,MMR,2.2,90.0,2743,54409800,148617,595.0,11599.0,445.0,,,3265,3.0,133753.0,147.0,Myanmar,28
라트비아🇱🇻,LVA,1.8,96.9,72674,1886198,136975,125.0,1757.0,124.0,42.0,,2497,1.0,132721.0,,Latvia,57
알제리🇩🇿,DZA,2.7,69.6,3117,43851044,136294,473.0,37831.0,212.0,29.0,,3641,10.0,94822.0,251.0,Algeria,36
잠비아🇿🇲,ZMB,1.3,83.7,7454,18383955,133659,3028.0,20071.0,1581.0,1119.0,96.0,1744,53.0,111844.0,1394.0,Zambia,33
알바니아🇦🇱,ALB,1.9,98.1,46041,2877797,132491,1.0,107.0,-11.0,3.0,,2455,1.0,129929.0,11.0,Albania,36
에스토니아🇪🇪,EST,1.0,96.9,98663,1326535,130855,37.0,2788.0,-66.0,4.0,-1.0,1269,1.0,126798.0,102.0,Estonia,75
노르웨이🇳🇴,NOR,0.6,68.7,23969,5421241,129545,212.0,39803.0,212.0,7.0,,790,,88952.0,,Norway,84
키르기스스탄🇰🇬,KGZ,1.7,90.9,17977,6524195,116546,931.0,8669.0,401.0,102.0,,1945,8.0,105932.0,522.0,Kyrgyzstan,31
아프가니스탄🇦🇫,AFG,4.0,60.7,2816,38928346,107957,2202.0,38026.0,1635.0,1124.0,,4366,73.0,65565.0,494.0,Afghanistan,19
우즈베키스탄🇺🇿,UZB,0.7,96.0,3205,33469203,106847,395.0,3581.0,10.0,23.0,,720,2.0,102546.0,383.0,Uzbekistan,26
몬테네그로🇲🇪,MNE,1.6,98.1,159385,628066,100092,17.0,298.0,-5.0,6.0,,1605,,98189.0,22.0,Montenegro,45
몽골🇲🇳,MNG,0.5,65.6,30584,3278290,98050,2231.0,33237.0,1333.0,126.0,,459,12.0,64354.0,886.0,Mongolia,35
가나🇬🇭,GHA,0.8,97.8,3065,31072940,95059,146.0,1260.0,21.0,9.0,,794,1.0,93005.0,124.0,Ghana,43
핀란드🇫🇮,FIN,1.0,48.7,17073,5540720,94489,110.0,47522.0,110.0,9.0,,967,,46000.0,,Finland,85
중국🇨🇳,CHN,5.1,94.4,64,1439323776,91629,25.0,512.0,-10.0,,,4636,,86481.0,35.0,China,42
카메룬🇨🇲,CMR,1.6,97.3,3032,26545863,80328,,853.0,,152.0,,1313,,78162.0,,Cameroon,25
엘살바도르🇸🇻,SLV,3.0,92.4,11946,6486205,77484,384.0,3540.0,119.0,28.0,-2.0,2341,9.0,71603.0,256.0,El Salvador,36
나미비아🇳🇦,NAM,1.6,79.8,30435,2540905,75766,1084.0,14103.0,261.0,90.0,14.0,1179,15.0,60484.0,808.0,Namibia,51
잔담(크루즈)🚢,NAM,22.2,77.8,-,-,9,,0.0,,,,2,,7.0,,Namibia,51
키프로스🇨🇾,CYP,0.5,97.8,61152,1207359,73710,67.0,1253.0,-27.0,19.0,-3.0,374,,72083.0,94.0,Cyprus,57
우간다🇺🇬,UGA,0.9,68.5,1605,45741007,72679,1136.0,22205.0,854.0,1099.0,73.0,680,20.0,49794.0,262.0,Uganda,27
모잠비크🇲🇿,MOZ,1.2,96.8,2328,31255435,72577,70.0,1488.0,-122.0,32.0,,848,,70241.0,192.0,Mozambique,25
몰디브🇲🇻,MDV,0.3,93.1,133743,540544,72149,253.0,4795.0,-516.0,90.0,,206,,67148.0,769.0,Maldives,43
룩셈부르크🇱🇺,LUX,1.2,98.5,112699,625978,70535,19.0,258.0,-146.0,2.0,1.0,818,,69459.0,165.0,Luxembourg,80
보츠와나🇧🇼,BWA,1.6,90.6,27984,2351627,65808,2561.0,5123.0,1357.0,1.0,,1069,129.0,59616.0,1075.0,Botswana,60
싱가포르🇸🇬,SGP,0.1,99.4,10678,5850342,62448,18.0,343.0,-11.0,,,35,1.0,62070.0,28.0,Singapore,85
자메이카🇯🇲,JAM,2.1,57.9,16796,2961167,49712,44.0,19885.0,-130.0,6.0,-2.0,1034,1.0,28793.0,173.0,Jamaica,44
코트디부아르🇨🇮,CIV,0.6,98.8,1822,26378274,48047,3.0,252.0,-39.0,,,308,,47487.0,42.0,C?te d'Ivoire,36
캄보디아🇰🇭,KHM,1.0,87.9,2674,16718965,44124,678.0,4899.0,-103.0,,,459,18.0,38766.0,763.0,Cambodia,21
세네갈🇸🇳,SEN,2.7,96.4,2544,16743927,42472,35.0,350.0,-15.0,7.0,,1159,1.0,40963.0,49.0,Senegal,45
짐바브웨🇿🇼,ZWE,4.0,88.2,2874,14862924,42195,416.0,3310.0,387.0,10.0,,1685,13.0,37200.0,16.0,Zimbabwe,24
마다가스카르🇲🇬,MDG,2.1,96.0,1523,27691018,42137,,765.0,,62.0,,903,,40469.0,,Madagascar,25
콩고민주공화국🇨🇩,COD,2.3,73.0,428,89561403,38330,521.0,9473.0,481.0,,,888,9.0,27969.0,31.0,Democratic Republic of the Congo,18
앙골라🇦🇴,AGO,2.3,84.2,1152,32866272,37748,70.0,5098.0,-45.0,18.0,,868,9.0,31782.0,106.0,Angola,27
수단🇸🇩,SDN,7.5,82.7,833,43849260,36347,,3548.0,,,,2737,,30062.0,,Sudan,16
말라위🇲🇼,MWI,3.4,94.2,1829,19129952,34914,46.0,852.0,23.0,22.0,,1171,3.0,32891.0,20.0,Malawi,30
카보베르데🇨🇻,CPV,0.9,97.0,57755,555987,32039,37.0,665.0,-66.0,23.0,,283,,31091.0,103.0,Cabo Verde,58
르완다🇷🇼,RWA,1.2,84.9,2493,12952218,31435,622.0,4343.0,616.0,13.0,,388,6.0,26704.0,,Rwanda,54
트리니다드 토바고🇹🇹,TTO,2.4,71.1,22138,1399488,30767,148.0,8148.0,-126.0,22.0,,747,10.0,21872.0,264.0,Trinidad and Tobago,40
몰타 공화국🇲🇹,MLT,1.4,98.5,69291,441543,30595,5.0,27.0,4.0,,,420,,30148.0,1.0,Malta,53
호주🇦🇺,AUS,3.0,96.4,1191,25499884,30366,14.0,184.0,14.0,1.0,,910,,29272.0,,Australia,77
시리아🇸🇾,SYR,7.3,86.4,1440,17500658,25158,40.0,1563.0,28.0,,,1848,3.0,21747.0,9.0,Syria,14
가봉🇬🇦,GAB,0.6,97.6,11181,2225734,24864,,442.0,,17.0,,158,,24264.0,,Gabon,30
기니🇬🇳,GIN,0.7,94.7,1795,13132795,23535,85.0,1085.0,53.0,24.0,,168,,22282.0,32.0,Guinea,28
모리타니🇲🇷,MRT,2.4,95.4,4391,4649658,20365,29.0,446.0,4.0,16.0,,481,,19438.0,25.0,Mauritania,29
수리남🇸🇷,SUR,2.3,76.6,34601,586632,20141,116.0,4250.0,8.0,36.0,,467,7.0,15424.0,101.0,Suriname,38
가이아나🇬🇾,GUY,2.3,89.7,24454,786552,19144,48.0,1520.0,-56.0,18.0,-3.0,449,2.0,17175.0,102.0,Guyana,41
에스와티니🇸🇿,SWZ,3.6,95.8,16251,1160164,18831,18.0,115.0,-4.0,10.0,,677,,18039.0,22.0,Eswatini,33
아이티🇭🇹,HTI,2.2,72.0,1553,11402528,17710,339.0,4564.0,245.0,,,393,8.0,12753.0,86.0,Haiti,18
파푸아뉴기니🇵🇬,PNG,1.0,96.4,1909,8947024,17013,,444.0,,7.0,,173,,16396.0,,Papua New Guinea,27
소말리아🇸🇴,SOM,5.2,48.5,935,15893222,14867,15.0,6888.0,-39.0,,,775,,7204.0,54.0,Somalia,12
세이셸🇸🇨,SYC,0.4,91.1,148657,98347,14620,497.0,1238.0,-325.0,,,59,4.0,13323.0,818.0,Seychelles,66
말리🇲🇱,MLI,3.6,69.8,710,20250833,14385,4.0,3825.0,1.0,,,524,,10036.0,3.0,Mali,30
대만🇹🇼,TWN,4.0,53.2,594,23816775,14155,75.0,6052.0,-6326.0,,,569,,7534.0,6401.0,Taiwan,65
토고🇹🇬,TGO,0.9,97.3,1659,8278724,13731,10.0,245.0,7.0,,,128,,13358.0,3.0,Togo,29
베트남🇻🇳,VNM,0.5,40.0,142,97338579,13630,147.0,8108.0,145.0,,,69,2.0,5453.0,,Vietnam,36
부르키나파소🇧🇫,BFA,1.2,98.7,644,20903273,13469,,9.0,,,,167,,13293.0,,Burkina Faso,40
타지키스탄🇹🇯,TJK,0.7,99.3,1401,9537645,13308,,0.0,,,,90,,13218.0,,Tajikistan,25
바하마🇧🇸,BHS,2.0,91.6,31479,393244,12364,69.0,799.0,-25.0,3.0,,243,2.0,11322.0,92.0,Bahamas,63
콩고공화국🇨🇬,COG,1.3,91.2,2248,5518087,12298,,926.0,,,,161,,11211.0,,Congo,19
홍콩🇭🇰,HKG,1.8,97.6,1587,7496981,11896,7.0,70.0,5.0,,,210,,11616.0,2.0,Hong Kong,77
지부티🇩🇯,DJI,1.3,98.6,11736,988000,11591,4.0,5.0,,,,155,,11431.0,4.0,Djibouti,27
레소토🇱🇸,LSO,3.0,58.0,5195,2142249,11107,26.0,4333.0,26.0,,,329,,6445.0,,Lesotho,41
남수단🇸🇸,SSD,1.1,97.5,964,11193725,10786,16.0,157.0,16.0,,,115,,10514.0,,South Sudan,12
동티모르🇹🇱,TLS,0.2,88.4,6707,1318445,8781,53.0,1000.0,-42.0,,,19,,7762.0,95.0,Timor-Leste,40
적도 기니🇬🇶,GNQ,1.4,97.5,6207,1402985,8708,10.0,99.0,10.0,1.0,,120,,8489.0,,Equatorial Guinea,16
베냉🇧🇯,BEN,1.3,98.0,674,12123200,8140,,58.0,,5.0,,103,,7979.0,,Benin,41
니카라과🇳🇮,NIC,2.4,54.9,1196,6624554,7696,,3283.0,,,,188,,4225.0,,Nicaragua,22
중앙아프리카 공화국🇨🇫,CAF,1.4,96.2,1478,4829767,7129,28.0,172.0,28.0,2.0,,98,,6859.0,,Central African Republic,26
예멘🇾🇪,YEM,19.7,57.5,231,29825964,6889,4.0,1576.0,-1.0,23.0,,1355,,3958.0,5.0,Yemen,15
아이슬란드🇮🇸,ISL,0.5,99.2,19429,341243,6630,3.0,24.0,3.0,1.0,,30,,6576.0,,Iceland,75
감비아🇬🇲,GMB,3.0,96.6,2501,2416668,6045,21.0,27.0,11.0,3.0,,181,,5837.0,10.0,Gambia,37
